No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
478,売地,掛川市西大渕,350,320,バス停,所有権,60,２種住居,3.9,200,301,90,2024/9/7,2024/9/19,-,-,相談
466,売地,掛川市青葉台,1350,1350,ＪＲ東海道新幹線,所有権,60,１種住居,18.0,200,251.57,75,2024/2/2,2024/4/16,-,-,現況渡し
465,売地,掛川市青葉台,970,900,ＪＲ東海道新幹線,所有権,60,-,14.9,150,218.4,65,2024/11/11,2024/12/28,-,-,更地渡し
472,売地,掛川市大坂,1200,1200,東海道本線,所有権,60,１種住居,8.7,200,462.86,138,2024/3/29,2024/6/3,-,-,現況渡し
471,売地,掛川市大坂5000-6,8,420,東海道本線,所有権,60,無指定,0.1,200,202.98,60,2023/5/17,2023/5/26,-,-,現況渡し
470,売地,掛川市大坂5919-1,420,420,東海道本線,所有権,60,無指定,7.0,200,200.44,60,2024/4/12,2024/4/25,-,-,更地渡し
423,売地,掛川市大池,1020,970,東海道本線,所有権,40,１種低層,18.3,60,187.31,56,2024/9/26,2024/9/30,-,-,現況渡し
424,売地,掛川市大池,1120,1120,ＪＲ東海道新幹線,所有権,40,１種低層,17.1,60,220,66,2024/2/6,2024/2/18,-,-,現況渡し
422,売地,掛川市大池453-5B,950,950,東海道本線,所有権,40,１種低層,15.1,60,210.61,63,2025/3/1,2025/4/25,-,-,相談
449,売地,掛川市富部,840,840,天竜浜名湖鉄道,所有権,80,近隣商業,11.0,200,257,77,2024/3/18,2024/5/26,-,-,相談
448,売地,掛川市富部,600,400,バス停,所有権,40,１種低層,5.2,60,384,114,2024/6/12,2024/7/14,-,-,相談
454,売地,掛川市本郷2425番31他2筆,600,600,天竜浜名湖鉄道,所有権,60,無指定,5.9,200,339.91,101,2024/6/29,2024/8/7,-,-,相談
455,売地,掛川市本郷533-3,248,248,天竜浜名湖鉄道,所有権,60,無指定,17.3,200,48,14,2024/5/31,2024/8/6,-,-,現況渡し
