No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
247,売地,浜松市中央区三島町852番2、852番5,1050,1050,東海道本線/バス停,所有権,60,-,7.5,200,470,140,2023/4/12,2023/4/27,-,-,建築条件付
249,売地,浜松市中央区三島町字曲リ木808番2外,1450,1450,バス停,所有権,60,１種住居,29.6,200,164.6,49,2023/6/26,2023/8/31,-,-,更地渡し
250,売地,浜松市中央区三島町字曲リ木808番2外,1480,1480,バス停,所有権,60,１種住居,27.6,200,180.03,54,2023/6/26,2023/9/4,-,-,更地渡し
248,売地,浜松市中央区三島町字曲リ木808番2外,1380,1380,バス停/バス停,所有権,60,１種住居,21.4,200,216.71,65,2023/6/26,2023/9/4,-,-,更地渡し
237,売地,浜松市中央区三方原町,71,71,遠州鉄道/バス停,所有権,60,-,1.2,200,200.05,60,2024/8/18,2024/8/20,-,-,建築条件付
239,売地,浜松市中央区三方原町,65,1330,遠州鉄道/バス停,所有権,60,-,1.1,200,200.19,60,2023/11/12,2023/11/25,-,-,建築条件付
234,売地,浜松市中央区三方原町1482番1の一部,9,9,バス停,所有権,60,無指定,0.1,200,257.19,77,2023/12/20,-,-,-,現況渡し
236,売地,浜松市中央区三方原町1512番7、1512番8(C号地),780,780,バス停,所有権,60,-,7.3,200,359.13,107,2023/11/11,2023/12/5,-,-,現況渡し
244,売地,浜松市中央区三方原町１６－４,3200,3200,バス停,所有権,60,-,27.2,200,395,118,2025/1/8,2025/1/19,-,-,更地渡し
233,売地,浜松市中央区三方原町1801－1の一部（Ｂ号地）,760,760,バス停,所有権,60,-,10.2,200,249.35,74,2024/1/16,2024/3/24,-,-,現況渡し
231,売地,浜松市中央区三方原町1808-1の一部（Ａ号地）,730,730,バス停,所有権,60,-,9.8,200,249.2,74,2024/8/27,2024/10/30,-,-,現況渡し
232,売地,浜松市中央区三方原町１８０８－１の一部（D号地）,760,760,バス停/バス停,所有権,60,-,10.2,200,250.17,75,2024/6/22,2024/9/17,-,-,現況渡し
230,売地,浜松市中央区三方原町１８２１番１４,700,700,バス停,所有権,60,-,7.2,200,324.23,97,2024/11/5,2024/11/8,-,-,現況渡し
229,売地,浜松市中央区三方原町１８２１番８,650,650,バス停,所有権,60,-,10.5,200,207.54,62,2024/9/17,2024/11/5,-,-,現況渡し
241,売地,浜松市中央区三方原町1843-1,1920,1840,東海道本線/バス停,所有権,60,-,24.4,200,264.47,79,2023/6/18,2023/7/24,-,-,現況渡し
243,売地,浜松市中央区三方原町2056番地4,2150,1800,-,所有権,60,無指定,26.8,200,269.76,80,2024/8/21,2024/10/12,-,-,更地渡し
245,売地,浜松市中央区三方原町2229-1,3500,3500,東海道本線/バス停,所有権,60,-,16.2,200,723.99,216,2023/4/6,2023/6/23,-,-,更地渡し
235,売地,浜松市中央区三方原町348-1他,780,780,ＪＲ東海道新幹線/バス停,所有権,60,無指定,10.9,200,239.35,71,2024/3/20,2024/4/6,-,-,現況渡し
238,売地,浜松市中央区三方原町427-1,1350,1350,バス停,所有権,60,無指定,9.6,200,472,141,2024/7/17,2024/7/22,-,-,現況渡し
240,売地,浜松市中央区三方原町551-1外1筆の一部,1790,38,バス停/バス停,所有権,60,無指定,22.7,200,264.47,79,2024/10/7,2024/10/8,-,-,現況渡し
242,売地,浜松市中央区三方原町551-1外2筆の一部,1990,98,バス停,所有権,60,無指定,22.3,200,299.4,89,2024/7/19,2024/7/30,-,-,現況渡し
139,売地,浜松市中央区三和町,1310,1250,バス停,所有権,60,１種住居,26.2,200,167.61,50,2024/12/13,2025/2/11,-,-,相談
140,売地,浜松市中央区三和町,1490,3,バス停/バス停,所有権,60,１種住居,22.4,200,223.67,67,2025/3/4,2025/4/14,-,-,更地渡し
142,売地,浜松市中央区三和町南,1890,1800,バス停,所有権,60,１種住居,28.4,200,223.67,67,2024/2/27,2024/3/19,-,-,更地渡し
141,売地,浜松市中央区三和町北,1490,1490,バス停,所有権,60,１種住居,22.4,200,223.67,67,2025/2/28,2025/4/6,-,-,更地渡し
137,売地,浜松市中央区参野町,730,580,バス停,所有権,60,１種住居,22.3,200,109.99,33,2024/1/30,2024/2/22,-,-,相談
138,売地,浜松市中央区参野町,880,780,バス停,所有権,60,１種住居,21.1,200,139.85,42,2024/12/6,2025/2/2,-,-,現況渡し
265,売地,浜松市中央区山手町,3900,3900,バス停,所有権,60,-,66.0,200,198.34,59,2025/3/7,2025/3/28,-,-,現況渡し
166,売地,浜松市中央区四本松町,1800,1750,バス停,所有権,60,無指定,17.1,200,354,105,2024/2/18,2024/4/6,-,-,現況渡し
164,売地,浜松市中央区四本松町,850,720,バス停/バス停,所有権,60,無指定,15.3,200,187,56,2024/8/9,2024/9/13,-,-,更地渡し
163,売地,浜松市中央区四本松町,760,600,バス停,所有権,60,無指定,9.1,200,281,84,2024/11/18,2025/1/27,-,-,更地渡し
165,売地,浜松市中央区四本松町242-1②,1380,1380,バス停,所有権,60,無指定,17.2,200,270,80,2024/7/8,2024/7/23,-,-,更地渡し
309,売地,浜松市中央区市野町1599,1590,5000,遠州鉄道,所有権,60,１種住居,33.4,200,159.68,48,2024/6/21,2024/7/31,-,-,建築条件付
307,売地,浜松市中央区市野町21番1,18,18,遠州鉄道/バス停,所有権,60,無指定,0.1,200,419,125,2025/1/14,2025/3/31,-,-,現況渡し
308,売地,浜松市中央区市野町406-1他,1340,1340,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,27.4,200,164.01,49,2024/10/7,2024/11/13,-,-,建築条件付
306,売地,浜松市中央区市野町85番地の一部,550,550,バス停,所有権,60,無指定,6.9,200,268.59,80,2023/4/23,2023/7/16,-,-,更地渡し
147,売地,浜松市中央区志都呂１丁目1031-3,2500,2500,東海道本線/バス停,所有権,60,１種住居,28.5,200,294.14,88,2023/7/8,2023/7/11,-,-,更地渡し
152,売地,浜松市中央区志都呂町1143②,1620,1620,バス停,所有権,60,-,34.5,200,157.61,47,2024/1/20,2024/3/10,-,-,現況渡し
148,売地,浜松市中央区志都呂町1525-7A号地,1280,1280,バス停/バス停,所有権,60,-,31.5,200,136.24,41,2024/8/1,2024/9/20,-,-,現況渡し
153,売地,浜松市中央区志都呂町300-303,2670,2670,ＪＲ東海道新幹線/バス停,所有権,60,-,30.5,200,294.25,88,2025/1/17,2025/2/23,-,-,更地渡し
149,売地,浜松市中央区志都呂町字西脇1528-3Ｂ区画,7,7,バス停,所有権,60,-,0.2,200,132.03,39,2023/2/16,2023/4/27,-,-,現況渡し
150,売地,浜松市中央区志都呂町字西脇1528-3Ｄ区画/41.21坪,1339,1339,バス停,所有権,60,-,33.0,200,136.24,41,2023/2/14,2023/4/14,-,-,建築条件付
151,売地,浜松市中央区志都呂町字西脇1528-3Ｅ区画/45.96坪,8,8,バス停,所有権,60,-,0.2,200,151.96,45,2023/2/14,2023/4/14,-,-,現況渡し
123,売地,浜松市中央区篠ケ瀬町138-9,1640,1640,東海道本線/バス停,所有権,60,１種住居,30.2,200,182.22,54,2024/6/9,2024/6/12,-,-,更地渡し
125,売地,浜松市中央区篠ケ瀬町A,2180,2170,バス停,所有権,60,１種住居,33.8,200,216.41,64,2024/12/10,2025/1/19,-,-,更地渡し
124,売地,浜松市中央区篠ケ瀬町Ｂ,1770,1750,バス停/バス停,所有権,60,１種住居,30.7,200,193.63,58,2025/2/15,2025/4/20,-,-,現況渡し
154,売地,浜松市中央区篠原町,84,84,バス停,所有権,60,１種住居,2.7,200,105.78,32,2023/10/21,2023/10/29,-,-,更地渡し
160,売地,浜松市中央区篠原町21383-1,1075,1075,東海道本線,所有権,60,工業地域,14.5,200,249,74,2024/10/8,2024/11/13,-,-,更地渡し
162,売地,浜松市中央区篠原町22557,1350,1350,バス停,所有権,60,工業地域,17.8,200,254,76,2023/3/11,2023/5/27,-,-,更地渡し
158,売地,浜松市中央区篠原町3898-1(A区画),980,980,東海道本線/バス停,所有権,60,１種住居,17.3,200,189.9,57,2024/1/6,2024/2/25,-,-,現況渡し
157,売地,浜松市中央区篠原町3898-3(B区画),980,980,東海道本線/バス停,所有権,60,１種住居,18.9,200,173.86,52,2024/4/3,2024/6/16,-,-,現況渡し
159,売地,浜松市中央区篠原町3898-3(B区画),980,980,東海道本線/バス停,所有権,60,１種住居,18.9,200,173.86,52,2024/1/6,2024/2/25,-,-,現況渡し
161,売地,浜松市中央区篠原町9308番3,2,2,東海道本線/バス停,所有権,70,１種住居,0.0,200,208.64,62,2023/2/24,2023/4/29,-,-,相談
155,売地,浜松市中央区篠原町Ａ区画,48,48,バス停,所有権,60,１種住居,0.9,200,172,51,2024/7/8,2024/7/27,-,-,現況渡し
156,売地,浜松市中央区篠原町Ｂ区画,48,48,バス停/バス停,所有権,60,１種住居,0.9,200,172,51,2024/7/8,2024/7/27,-,-,現況渡し
300,売地,浜松市中央区若林町,1520,1520,バス停,所有権,60,１種住居,30.9,200,165.29,49,2023/7/8,2023/8/7,-,-,更地渡し
299,売地,浜松市中央区若林町B区画,1420,1420,バス停,所有権,60,工業地域,30.9,200,154.07,46,2025/3/20,2025/4/21,-,-,現況渡し
188,売地,浜松市中央区住吉１丁目35-6,4,330,バス停/バス停,所有権,60,２種中高,0.2,200,54.81,16,2025/2/14,2025/4/4,-,-,現況渡し
189,売地,浜松市中央区住吉４丁目16-19,2000,2000,遠州鉄道,所有権,60,２種住居,37.9,200,176.99,53,2023/8/17,2023/8/22,-,-,更地渡し
146,売地,浜松市中央区十軒町613-8,2476,2350,遠州鉄道,所有権,60,１種住居,33.5,200,248,74,2025/4/7,2025/4/15,-,-,現況渡し
359,売地,浜松市中央区春日町１－１,1200,1053,バス停,所有権,60,１種住居,26.6,200,151.21,45,2023/12/7,2024/1/21,-,-,相談
358,売地,浜松市中央区春日町1-1,5,1053,ＪＲ東海道新幹線,所有権,60,１種住居,0.1,200,151.21,45,2023/11/21,2024/1/21,-,-,更地渡し
79,売地,浜松市中央区初生町－,9,0,バス停,所有権,60,無指定,0.2,200,168.7,50,2024/12/4,2024/12/23,-,-,更地渡し
78,売地,浜松市中央区初生町1038-4,1385,1385,ＪＲ東海道新幹線,所有権,60,無指定,22.3,200,209,62,2024/8/19,2024/10/11,-,-,建築条件付
80,売地,浜松市中央区初生町１７１ー３３(Ｈ号地),1980,1980,バス停/バス停,所有権,60,-,23.2,200,286.54,85,2023/12/26,2024/2/17,-,-,更地渡し
81,売地,浜松市中央区初生町959-8,2050,2000,バス停,所有権,70,無指定,32.5,200,211.68,63,2025/2/3,2025/3/17,-,-,更地渡し
173,売地,浜松市中央区将監町27-1外2筆,2299,28,バス停,所有権,60,２種住居,39.9,200,193.53,58,2024/8/19,2024/9/5,-,-,現況渡し
107,売地,浜松市中央区小沢渡町,1300,1300,東海道本線/バス停,所有権,60,無指定,21.2,200,206.18,61,2024/4/9,2024/4/23,-,-,更地渡し
103,売地,浜松市中央区小沢渡町,1180,1180,東海道本線/バス停,所有権,60,無指定,18.3,200,216.11,64,2023/4/11,2023/4/25,-,-,現況渡し
104,売地,浜松市中央区小沢渡町,1180,1180,東海道本線/バス停,所有権,60,無指定,18.3,200,216.11,64,2023/4/11,2023/4/25,-,-,現況渡し
105,売地,浜松市中央区小沢渡町,1200,1200,東海道本線/バス停,所有権,60,無指定,17.0,200,236.91,71,2024/4/9,2024/4/23,-,-,更地渡し
108,売地,浜松市中央区小沢渡町1120,48,48,東海道本線/バス停/バス停,所有権,60,無指定,0.2,200,687,205,2024/6/22,2024/7/1,-,-,現況渡し
106,売地,浜松市中央区小沢渡町1240-11,1200,1200,東海道本線,所有権,60,-,11.1,200,362,108,2024/1/11,2024/3/29,-,-,更地渡し
102,売地,浜松市中央区小沢渡町1760の一部,65,65,東海道本線,所有権,60,-,0.5,200,413,123,2024/2/26,2024/3/14,-,-,現況渡し
395,売地,浜松市中央区小池町2408,750,750,遠州鉄道,所有権,60,-,9.5,200,265.75,79,2024/7/8,2024/7/29,-,-,相談
397,売地,浜松市中央区小池町574①,1850,1850,遠州鉄道,所有権,60,無指定,29.7,200,209,62,2024/7/15,2024/8/30,-,-,相談
396,売地,浜松市中央区小池町574②,1780,1780,遠州鉄道/バス停,所有権,60,無指定,28.6,200,209,62,2024/5/11,2024/6/3,-,-,相談
398,売地,浜松市中央区小池町574③,1890,1890,遠州鉄道,所有権,60,無指定,27.1,200,234,70,2024/3/29,2024/4/21,-,-,相談
400,売地,浜松市中央区小池町574④,2050,2050,遠州鉄道,所有権,60,無指定,20.9,200,330,98,2024/4/22,2024/6/9,-,-,相談
399,売地,浜松市中央区小池町975番5,2020,2020,遠州鉄道,所有権,70,無指定,32.5,200,208.76,62,2024/7/20,2024/8/19,-,-,現況渡し
384,売地,浜松市中央区上西町,2880,2880,バス停,所有権,60,１種住居,30.8,200,314.04,94,2023/12/8,2023/12/10,-,-,更地渡し
383,売地,浜松市中央区上西町894-1,800,800,遠州鉄道/バス停,所有権,60,工業地域,24.0,200,111.83,33,2023/6/9,2023/6/19,-,-,現況渡し
382,売地,浜松市中央区上西町字西表１０８４－８,530,430,バス停,所有権,60,工業地域,25.4,200,70.16,21,2025/1/29,2025/4/7,-,-,更地渡し
369,売地,浜松市中央区上石田町2206-10、116,4,4,東海道本線,所有権,60,無指定,0.1,200,246,73,2024/11/15,2024/12/24,-,-,現況渡し
370,売地,浜松市中央区上石田町262-1,68,68,東海道本線/バス停/バス停,所有権,60,-,1.3,200,182.11,54,2024/5/14,2024/7/22,-,-,現況渡し
368,売地,浜松市中央区上石田町字河原２１７－１,28,0,バス停,所有権,60,無指定,0.4,200,209.75,62,2024/2/26,2024/3/14,-,-,現況渡し
364,売地,浜松市中央区上浅田１丁目506、502-2,2700,2700,東海道本線/バス停/バス停,所有権,60,１種住居,27.2,200,333.2,99,2024/2/4,2024/4/15,-,-,現況渡し
367,売地,浜松市中央区上浅田２丁目,1790,1580,バス停,所有権,60,１種住居,32.1,200,187.47,56,2024/10/30,2024/12/20,-,-,現況渡し
366,売地,浜松市中央区上浅田２丁目,1580,1580,バス停,所有権,60,１種住居,28.3,200,187.47,56,2024/12/13,2024/12/14,-,-,現況渡し
365,売地,浜松市中央区上浅田２丁目490-1他,1419,1419,ＪＲ東海道新幹線,所有権,60,１種住居,33.5,200,142.15,42,2024/1/11,2024/3/9,-,-,建築条件付
372,売地,浜松市中央区上島１丁目,1680,1680,遠州鉄道/バス停/バス停,所有権,60,１種住居,38.8,200,145.53,43,2023/10/10,2023/12/15,-,-,現況渡し
373,売地,浜松市中央区上島１丁目8-21,2575,2575,バス停,所有権,60,１種住居,38.6,200,224.06,67,2023/5/29,2023/7/11,-,-,相談
375,売地,浜松市中央区上島３丁目15-15,3100,2800,遠州鉄道,所有権,60,１種住居,32.8,200,317,94,2024/5/13,2024/7/30,-,-,更地渡し
374,売地,浜松市中央区上島３丁目153-1,1680,1680,遠州鉄道,所有権,60,１種住居,20.6,200,273.43,81,2024/9/2,2024/10/15,-,-,建築条件付
376,売地,浜松市中央区上島７丁目18-5,1980,1980,バス停,所有権,60,１種住居,33.5,160,198.69,59,2023/5/22,2023/7/23,-,-,現況渡し
175,売地,浜松市中央区城北１丁目17番9,950,800,遠州鉄道,所有権,60,２種住居,8.8,200,363.57,108,2024/1/19,2024/2/19,-,-,現況渡し
176,売地,浜松市中央区城北２丁目,910,720,バス停,所有権,60,２種中高,15.9,200,191.73,57,2023/9/3,2023/10/12,-,-,更地渡し
178,売地,浜松市中央区城北２丁目27番9号,970,73,遠州鉄道,所有権,60,２種中高,17.0,200,191.73,57,2023/9/14,2023/11/9,-,-,相談
177,売地,浜松市中央区城北２丁目35,950,950,遠州鉄道,所有権,60,２種中高,8.1,200,396,118,2024/7/22,2024/7/29,-,-,現況渡し
174,売地,浜松市中央区常光町652番,28,28,バス停,所有権,-,-,0.5,-,186,55,2024/2/16,2024/3/14,-,-,現況渡し
316,売地,浜松市中央区植松町１４７２－９他,3487,3487,東海道本線/バス停/バス停,所有権,60,２種住居,41.6,200,281.2,84,2024/8/27,2024/10/9,-,-,現況渡し
315,売地,浜松市中央区植松町254-5,1980,1950,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,31.4,200,211.68,63,2023/9/1,2023/9/18,-,-,現況渡し
69,売地,浜松市中央区新橋町,1100,1100,東海道本線/バス停,所有権,60,無指定,15.9,200,232,69,2024/6/5,2024/6/13,-,-,現況渡し
73,売地,浜松市中央区新橋町,1320,1320,バス停,所有権,60,無指定,15.4,200,288,86,2024/4/12,2024/6/22,-,-,相談
74,売地,浜松市中央区新橋町,1320,1320,バス停,所有権,60,無指定,15.1,200,294,88,2023/10/24,2023/11/24,-,-,相談
71,売地,浜松市中央区新橋町1,1300,1300,東海道本線/バス停,所有権,60,無指定,20.8,200,209.72,62,2024/10/7,2024/10/15,-,-,更地渡し
72,売地,浜松市中央区新橋町1,1300,1300,東海道本線/バス停/バス停,所有権,60,無指定,20.8,200,209.72,62,2024/2/29,2024/3/12,-,-,更地渡し
68,売地,浜松市中央区新橋町1033外,1090,1090,ＪＲ東海道新幹線,所有権,60,無指定,18.2,200,201.13,60,2023/2/14,2023/4/2,-,-,建築条件付
70,売地,浜松市中央区新橋町2,1300,1300,東海道本線/バス停,所有権,60,無指定,20.8,200,210.07,63,2025/1/26,2025/2/3,-,-,更地渡し
184,売地,浜松市中央区新津町659-1,1280,1280,遠州鉄道,所有権,60,１種住居,40.5,200,106,32,2023/6/15,2023/7/6,-,-,建築条件付
94,売地,浜松市中央区深萩町304-174,990,990,バス停,所有権,60,無指定,19.2,200,173,52,2023/10/12,2023/11/12,-,-,相談
371,売地,浜松市中央区神ケ谷町,900,870,東海道本線/バス停,所有権,60,無指定,7.3,200,413,123,2023/7/13,2023/9/16,-,-,現況渡し
379,売地,浜松市中央区神田町1221-1B号地,1450,1400,遠州鉄道,所有権,60,-,14.0,200,347.84,104,2024/8/9,2024/9/3,-,-,現況渡し
381,売地,浜松市中央区神田町１２７３,2260,2200,遠州鉄道,所有権,60,無指定,21.1,200,359,107,2023/5/9,2023/9/3,-,-,現況渡し
377,売地,浜松市中央区神田町1501-1,620,620,バス停/バス停,所有権,60,無指定,10.5,200,198.75,59,2024/12/19,2025/1/16,-,-,更地渡し
378,売地,浜松市中央区神田町1501-1,620,530,バス停/バス停,所有権,60,無指定,10.5,200,198.75,59,2024/9/17,2024/10/17,-,-,更地渡し
380,売地,浜松市中央区神田町89-7,1630,1630,バス停/バス停,所有権,60,１種住居,26.7,160,205.2,61,2023/10/31,2023/12/12,-,-,更地渡し
50,売地,浜松市中央区西ケ崎町,1590,1590,バス停,所有権,60,無指定,14.9,200,359,107,2023/10/14,2023/10/23,-,-,現況渡し
49,売地,浜松市中央区西ケ崎町1275,77,50,遠州鉄道,所有権,60,無指定,0.7,200,369,110,2023/12/22,2024/2/9,-,-,現況渡し
62,売地,浜松市中央区西山町,1480,1450,バス停,所有権,60,無指定,21.4,200,232.54,69,2024/11/25,2025/2/2,-,-,現況渡し
63,売地,浜松市中央区西山町,1580,1150,バス停,所有権,60,無指定,19.4,200,272.86,81,2024/7/29,2024/9/15,-,-,相談
65,売地,浜松市中央区西山町1055-45,1650,1650,バス停,所有権,60,無指定,26.4,200,210.19,63,2024/7/8,2024/8/10,-,-,現況渡し
66,売地,浜松市中央区西山町1531-38,1690,29,バス停,所有権,60,無指定,31.8,200,178.58,53,2023/8/21,2023/10/2,-,-,更地渡し
60,売地,浜松市中央区西山町２０１５－２３（E号地）,780,780,バス停,所有権,60,-,6.8,200,383.71,114,2024/2/10,2024/3/6,-,-,現況渡し
61,売地,浜松市中央区西山町２０１５－２４(F号地),800,800,バス停,所有権,60,-,11.6,200,231.92,69,2023/5/12,2023/6/30,-,-,現況渡し
67,売地,浜松市中央区西山町227-2,1880,1880,バス停,所有権,60,無指定,27.8,200,227.28,68,2024/12/12,2025/1/30,-,-,更地渡し
64,売地,浜松市中央区西山町字当り1055番562,1635,1635,バス停/バス停,所有権,60,無指定,26.6,200,206.15,61,2023/6/30,2023/8/6,-,-,現況渡し
59,売地,浜松市中央区西町,1160,98,バス停,所有権,60,無指定,16.2,200,240,71,2024/5/17,2024/5/29,-,-,相談
58,売地,浜松市中央区西町,980,980,バス停,所有権,60,無指定,10.9,200,300.55,90,2024/3/29,2024/6/8,-,-,更地渡し
56,売地,浜松市中央区西町,620,13,バス停/バス停,所有権,60,無指定,7.2,200,287.61,86,2025/3/14,2025/3/22,-,-,現況渡し
55,売地,浜松市中央区西町505-1,518,99,バス停,所有権,60,無指定,7.1,200,245,73,2023/7/9,2023/7/15,-,-,現況渡し
57,売地,浜松市中央区西町642,860,770,東海道本線,所有権,60,-,5.9,200,492,147,2025/1/6,2025/2/3,-,-,現況渡し
54,売地,浜松市中央区西島町,1000,950,バス停,所有権,60,無指定,12.9,200,260.62,78,2024/11/12,2024/12/17,-,-,現況渡し
51,売地,浜松市中央区西島町,600,280,バス停,所有権,60,無指定,10.2,200,198.37,59,2024/8/30,2024/10/5,-,-,更地渡し
52,売地,浜松市中央区西島町A,650,620,バス停,所有権,60,無指定,8.9,200,246.4,73,2025/1/20,2025/3/2,-,-,現況渡し
53,売地,浜松市中央区西島町B,880,850,バス停,所有権,60,無指定,10.0,200,295.52,88,2024/1/20,2024/2/25,-,-,現況渡し
191,売地,浜松市中央区積志町766番外1筆の一部,93,0,遠州鉄道,所有権,60,無指定,0.7,200,449,134,2023/8/7,2023/8/23,-,-,現況渡し
192,売地,浜松市中央区積志町845番,3,1,遠州鉄道,所有権,60,無指定,0.0,200,452,135,2025/1/9,2025/2/6,-,-,現況渡し
190,売地,浜松市中央区積志町845番の一部,605,1,遠州鉄道,所有権,60,無指定,10.2,200,200,60,2025/1/10,2025/2/6,-,-,現況渡し
301,売地,浜松市中央区泉２丁目12-13,998,998,東海道本線/バス停,所有権,60,-,30.4,200,110.17,33,2024/12/9,2025/1/22,-,-,更地渡し
302,売地,浜松市中央区泉２丁目837-758,1050,1050,遠州鉄道,所有権,60,-,25.4,200,138.89,41,2024/8/9,2024/9/13,-,-,更地渡し
303,売地,浜松市中央区泉３丁目13-25,850,850,東海道本線/バス停,所有権,60,-,18.8,200,151.64,45,2024/5/30,2024/6/4,-,-,相談
305,売地,浜松市中央区泉４丁目10-2,980,980,遠州鉄道/バス停,所有権,60,-,31.6,200,104.25,31,2024/12/26,2025/1/16,-,-,更地渡し
304,売地,浜松市中央区泉４丁目24,670,650,遠州鉄道,所有権,60,-,26.5,200,85,25,2023/11/28,2023/12/2,-,-,更地渡し
196,売地,浜松市中央区早出町,1880,1800,バス停/バス停,所有権,60,１種住居,33.4,200,189.16,56,2023/6/12,2023/7/30,-,-,更地渡し
193,売地,浜松市中央区早出町,1350,1350,遠州鉄道/バス停,所有権,60,１種住居,29.2,200,155,46,2023/4/4,2023/6/12,-,-,現況渡し
195,売地,浜松市中央区早出町1363-13,1700,1700,遠州鉄道,所有権,60,１種住居,32.6,200,174.92,52,2023/5/9,2023/6/2,-,-,建築条件付
194,売地,浜松市中央区早出町756-5,1680,1680,バス停,所有権,60,１種住居,18.3,160,309.05,92,2024/6/3,2024/7/18,-,-,現況渡し
255,売地,浜松市中央区村櫛町3697-2,486,480,バス停/バス停,所有権,60,１種住居,5.1,200,321,96,2023/2/8,2023/4/11,-,-,現況渡し
324,売地,浜松市中央区大蒲町B区画,1850,1850,東海道本線/バス停/バス停,所有権,60,工業地域,32.1,200,193.23,58,2024/10/9,2024/11/25,-,-,現況渡し
334,売地,浜松市中央区大人見町12-176①,1190,1190,バス停,所有権,60,無指定,18.6,200,215,64,2024/7/15,2024/7/29,-,-,相談
336,売地,浜松市中央区大人見町12-176②,1290,1290,バス停,所有権,60,無指定,20.1,200,215,64,2023/11/6,2023/11/15,-,-,相談
337,売地,浜松市中央区大人見町12-176②,1290,1290,バス停,所有権,60,無指定,20.1,200,215,64,2023/8/31,2023/9/25,-,-,相談
335,売地,浜松市中央区大人見町12-176③,1290,1290,バス停,所有権,60,無指定,20.1,200,215,64,2024/6/25,2024/7/15,-,-,相談
338,売地,浜松市中央区大人見町12-176④,1390,1390,バス停,所有権,60,無指定,21.7,200,215,64,2024/3/29,2024/6/15,-,-,相談
339,売地,浜松市中央区大人見町12-383,1400,1400,バス停,所有権,60,無指定,20.3,200,231.94,69,2025/1/5,2025/1/18,-,-,相談
332,売地,浜松市中央区大瀬町350-126、350-127,1680,1600,遠州鉄道/バス停,所有権,60,-,25.3,200,222.64,66,2024/7/2,2024/9/5,-,-,更地渡し
333,売地,浜松市中央区大塚町８４０・８４１,2480,2000,東海道本線/バス停,所有権,60,無指定,22.9,200,364,108,2023/6/1,2023/7/5,-,-,現況渡し
328,売地,浜松市中央区大島町1473外一部,980,84,バス停,所有権,60,無指定,6.9,200,473.99,141,2023/12/22,2024/2/9,-,-,現況渡し
327,売地,浜松市中央区大島町182,863,863,遠州鉄道/バス停/バス停,所有権,60,無指定,10.2,200,285,85,2024/8/2,2024/9/14,-,-,更地渡し
325,売地,浜松市中央区大島町680-2,380,380,遠州鉄道,所有権,60,-,5.9,200,214.91,64,2024/4/5,2024/4/29,-,-,現況渡し
326,売地,浜松市中央区大島町680-2,380,380,遠州鉄道,所有権,60,-,5.9,200,214.91,64,2024/4/5,2024/4/29,-,-,現況渡し
330,売地,浜松市中央区大島町981-1,1650,1650,遠州鉄道,所有権,60,-,15.7,200,352.63,105,2025/3/17,2025/4/18,-,-,更地渡し
329,売地,浜松市中央区大島町字上大瀬南801番,980,980,遠州鉄道,所有権,60,-,12.2,200,270,80,2023/7/24,2023/11/2,-,-,更地渡し
331,売地,浜松市中央区大島町字上大瀬南806番1外,2040,2040,遠州鉄道,所有権,60,-,20.3,200,337.06,100,2023/7/24,2023/11/2,-,-,更地渡し
340,売地,浜松市中央区大平台１丁目108-5,4200,4200,バス停/バス停,所有権,40,１種低層,27.4,60,515.58,154,2024/12/4,2024/12/18,-,-,現況渡し
33,売地,浜松市中央区中郡町1396-1の一部,980,61,遠州鉄道,所有権,60,無指定,9.8,200,337.33,100,2024/4/15,2024/5/17,-,-,現況渡し
32,売地,浜松市中央区中郡町1459-2,890,20,遠州鉄道/バス停,所有権,60,無指定,9.3,200,320,95,2024/9/13,2024/9/20,-,-,現況渡し
31,売地,浜松市中央区中郡町1459-3,890,20,遠州鉄道,所有権,60,無指定,9.3,200,320,95,2024/9/20,2024/11/5,-,-,現況渡し
34,売地,浜松市中央区中郡町37番地の2,1250,1250,遠州鉄道,所有権,60,-,21.2,200,198,59,2025/1/6,2025/1/7,-,-,更地渡し
30,売地,浜松市中央区中郡町713,703,0,遠州鉄道,所有権,60,無指定,7.1,200,332,99,2024/12/23,2025/2/6,-,-,現況渡し
35,売地,浜松市中央区中郡町957番1、2,1480,1350,遠州鉄道,所有権,60,-,15.0,200,331,99,2025/1/10,2025/3/16,-,-,相談
38,売地,浜松市中央区中沢町2-18,2,2,遠州鉄道/バス停,所有権,60,２種中高,0.0,200,161.15,48,2025/4/14,2025/4/26,-,-,更地渡し
37,売地,浜松市中央区中沢町41-11,200,85,ＪＲ東海道新幹線/バス停,所有権,60,２種中高,17.1,200,39.26,12,2023/3/28,2023/7/19,-,-,現況渡し
43,売地,浜松市中央区中田町103,2,2,遠州鉄道,所有権,60,１種住居,0.1,200,100,30,2023/12/1,-,-,-,現況渡し
42,売地,浜松市中央区中田島町1607-3,499,350,東海道本線/バス停,所有権,60,２種中高,7.2,200,232.01,69,2025/3/24,2025/4/26,-,-,更地渡し
39,売地,浜松市中央区中島１丁目,2480,2480,バス停,所有権,80,近隣商業,37.1,200,224.44,67,2023/5/19,2023/6/22,-,-,更地渡し
